Title,Text,Author
Andrii-Popa,"Cine trece-n Valea-Seacă
Cu hamgerul fără teacă
Şi cu pieptul dezvelit?
Andrii-Popa cel vestit!
Şapte ani cu voinicie
Şi-a bătut joc de domnie
Şi tot pradă ne-ncetat,
Andrii-Popa, hoţ bărbat!
Zi şi noapte, de călare,
Trage bir din drumul mare,
Şi din ţară peste tot!
Fug neferii cât ce pot,
Căci el are-o puşcă plină
Cu trei glonţi la rădăcină,
Ş-are-un murg de patru ani,
Care muşcă din duşmani,
Ş-are fraţi de cruce şapte,
Care-au supt sânge cu lapte.
Şi nu-i pasă de nimic,
Andrii-Popa cel voinic!
Căpitane, frăţioare,
Ce se vede despre soare?
Să zăresc vro patru cai!...
N-auzişi tu de-un Mihai?
Căpitane, te găteşte,
Mihai mândrul te goneşte.
Iată-1, vine ca un zmeu!
Fă trei cruci la Dumnezeu.
Cum îi vede-n depărtare,
Popa strigă-n gura mare:
""Hai la goană de neferi!
Hai la horă de muieri!""*
A zis! ţipă, se aruncă,
Trece şes, pâraie, luncă
Cu fugarul sprintenel
Şi cu hoţii după el.
Mihai mândrul vine iară,
Falnic ca un stâlp de pară,
Pe-un cal alb ce n-are loc
Şi din ochi aruncă foc.
Fug cum fuge-o o rândunică,
Fug ca fulgerul când pică,
Şi se duc voinicii, duc,
Cu urgie de haiduc!
Piept în piept!... câmpul răsună
Toţi de tot dau împreună.
Toţi la luptă-s încleştaţi,
Toţi în sânge încruntaţi.
""Ura, fraţi!"" caii nechează,
Sus văzduhul scănteiază.
""Ura!"" moartea s-a ivit!
Vulturu-n zbor s-a oprit!
Zi de vară pân-în seară
Dau voinicii să se piară
Şi cu fierul ascuţit,
Şi cu pumnul amorţit.
Sângele-n răni gâlgâieşte,
Glasu-n gură se sfârşeşte.
Zece-s morţi! doi încă vii,
Mihai mândrul şi Andrii.
Andrii fuge făr' de-o mână,
Prinde murgul la fântână,
Dă pieptiş, sare pe şa
Şi din gură zice-aşa:
""Zbori, copile sprintenele,
Să mă scapi de chinuri grele,
Că mă jur, de mă-i scăpa,
Ca pe-un frate te-oi căta"".
Murgul sprinten se repede.
În zadar! Mihai mi-1 vede!
""Stai, hoţ-popă, dragul meu,
Să-ţi arăt cine sunt eu!""
Şi cum zice, mi-1 chiteşte,
Drept în frunte mi-l loveşte!
""Ura!"" Vulturul din nori
Răcni falnic de trei ori.
",Vasile Alecsandri
Strunga,"În pădurea de la Strungă
Sunt de cei cu puşca lungă
Care dau chiorâş la pungă!
Sunt de cei ce-mpuşcă-n lună,
Care noaptea-n frunze sună,
Feciori de lele nebună!
Fă-te-n laturi, măi creştine,
Dacă vrei să mergi cu bine,
Să rămâi cu viaţă-n tine!
În potica fără soare
Ei te-aşteaptâ la strâmtoare
Să te prade, să te-omoarel...
În dumbrava cea vecină,
Unde buhna greu suspină,
Vezi cea zare de lumină?
Opt voinici cu spete late
Şi cu mâneci suflecate,
Stau cu puştile-ncărcate.
Trei sărutâ crucea sfântă,
Trei se luptâ greu la trâ.ntă,
Unul drege, unul cântă:
""Oliolio, ciocoi bogate!
Ici de-ai trece, din păcate,
Să-ţi arunc doi glonţi în spate.
Oliolio, mâ.ndră fetică!
De-ai veni cole-n potică
Să te fac mai frumuşică.
Că mi-i puşca hultuită.
Şi mi-i ghioaga pintuită,
Şi mi-i inima-ncolţită.
Oliolio, măi Taie-Babă!*
Căci nu şuieri mai degrabă,
Să sărim, voinici, la treabă!
Puşculiţa-mi rugineşte,
Tinta-n ghioagă se toceşte,
Murgul sare, nechezeşte!...
În pădurea de la Strungă
Ce slujeşte puşca lungă
Fără luptă, fără pungă?""
",Vasile Alecsandri
Baba Cloanţa,"Şede baba pe călcâie
În tufărul cel uscat,
Şi tot cată ne-ncetat
Când la luna cea bălaie,
Când la focul cel din sat.
Şi tot toarce cloanţa, toarce,
Din măsele clănţănind
Şi din degete plesnind.
Fusu-i repede se-ntoarce,
Iute-n aer sfârâind.
""Fugi, Urâte! baba zice,
Peste codrul cel frunzos,
În pustiu întunecos!
Fugi, s-alerge-acum aice
Dragul mândrei, Făt-Frumos.
De-a veni el după mine
Să-1 iubesc eu, numai eu,
Dare-ar Domnul-Dumnezeu
Să-i se-ntoarcă tot în bine,
Cum se-ntoarce fusul meu!
Iar de n-a vrea ca să vie,
Dare-ar Duhul necurat
Să fie-n veci fermecat
Şi de-a Iadului urgie
Vecinic să fie-alungat!
În cap ochii să-i se-ntoarcă
Şi să-i fie graiul prins,
Iar Satan, c-un fier aprins,
Din piept inima să-i stoarcă
Şi s-o ardă-n foc nestins!
Fiară-Verde să-1 gonească
Cât va fi câmp de gonit
Şi lumină de zărit.
Noaptea încă să-1 muncească
Sânge-Roş şi Hraconit!""
Toarce baba, mai turbată!
Fusu-i zboară nevăzut,
Căci o stea lungă-a căzut,
Pe lună s-a pus o patâ
Şi-n sat focul a scăzut:
""Dragă puiule, băiete,
Trage-ţi mâna din cel joc
Ce se-ntoarce lângă foc,
Ş-ochii de la cele fete,
Cu ochi mari, făr' de noroc.
Vin' la mine, voinicele,
Că eu noaptea ţi-oi cânta,
Ca pe-o floare te-oi căta,
De deochi, de soarte rele,
Şi de şerpi te-oi descânta.
Vai! din ziua cea de vară
Când, prin luncă rătăcit,
Cântai Doina de iubit,
Cu-a mea inimă amară
Sufletu-mi s-a învrăjbit!
Adă-mi faţa ta voioasă
Ş-ai tăi ochi de dezmierdat,
Că mă jur în ceas curat
Să-ţi torc haine de mătasă,
Haine mândre de-mpărat.
Vârcolacul se lăţeşte
Sus, pe lună, ca un nor,
Vin' ca pasărea-ntr-un zbor
Pân' ce viaţa-mi se sfârşeşte
Ca şi lâna din fuior.""
Baba Cloanţa geme, plânge,
Căci fuiorul s-a sfârşit,
Iar voinicul n-a venit!
Mâinile cumplit îşi frânge,
Crunt strigând spre răsărit:
""Sai din hău făr' de lumină
Tu, al cerului duşman!
Tu, ce-n veacuri schimbi un an
Pentr-un suflet ce suspină,
Duhul răului, Satan!
Tu, ce stingi cu-a ta aripă
Candela de pe mormânt,
Unde zac moaşte de sfânt,
Când înconjuri într-o clipă
De trei ori acest pământ!
Vin' ca-n ceasul de urgie
Când zbori noaptea blestemând,
Ca să-mi faci tu pe-al meu gând
Că de-acum pe vecinicie
Tie sufletul îmi vând!""
Abia zice, şi deodatâ
Valea, muntele vuiesc,
În nori corbii croncăiesc,
Şi pe-o creangă ridicatâ
Doi ochi duşmani strălucesc!
""Eu pe mândru-ţi 1-oi aduce
(Zbiară-un glas ce dă fiori),
Printre şerpi şi printre flori,
La cea baltâ de mă-i duce
Şi-mprejuru-i de trei ori!""
Baba Cloanţa se porneşte
Fără grijă de păcat,
Cu Satan încălecat,
Ce din dinţi grozav scrâşneşte
Şi tot blestemă turbat.
Saltă baba, fuge, zboară
Cu sufletul după dor,
Ca o buhnă la izvor,
Şi-n urmă-i se desfăşoară
Toată lâna din fuior.
Fuge baba despletită,
Ca vârtejul fioros,
Sus, pe malul lunecos,
Şi-n tăcerea adâncită
Satan urlă furios.
Mii de duhuri ies la lună,
Printre papură zburând,
Şi urmează şuierind,
Baba Cloanţă cea nebună
Care-aleargă descântând.
Codrul sună, clocoteşte
De-un lung hohot pân' în fund.
Valea, dealul îi răspund
Prin alt hohot ce-ngrozeşte,
Dar pe dânsa n-o pătrund!
Ea n-aude, nici nu vede,
Ci tot fuge ne-ncetat,
Ca un duh înspăimântat,
Căci Satana o repede
Către ţelul depărtat.
Zece pasuri încă grele...
Mândrul că şi-a dezmierda,
Ca pe-o floare 1-a căta,
De deochi, de soarte rele
Şi de şerpi 1-a descânta.
Doi paşi încă... Vai! în lunc
Ţipă cocoşul trezit;
Iar Satan afurisit
Cu-a sa jertfă se aruncă
În băltoiul mucezit!
Zbucnind apa-n nalte valuri,
Mult în urmă clocoti,
În mari cercuri se-nvârti,
Şi de trestii, şi de maluri
Mult cu vuiet se izbi.
Iară-n urmă liniştită
Dulce unda-şi alina,
Şi în taină legăna
Faţa lunii înălbită
Ce cu ziua se-ngâna...
Când pe malu-i trece noaptea
Călătorul şuierând
Printre papuri când şi când
El aude triste şoapte
Ş-un glas jalnic suspinând:
""Vin' la mine, voinicele,
Că eu noaptea ţi-oi cânta,
Ca pe-o floare te-oi căta,
De deochi, de soarte rele
Şi de şerpi te-oi descânta!""
",Vasile Alecsandri
Doina,"Doina, doiniţă!
De-aş avea o puiculiţă,
Cu flori galbene-n cosiţă,
Cu flori roşii pe guriţă!
De-aş avea o mândrulică
Cu-ochişori de porumbică
Şi cu suflet de voinică!
De-aş avea o bălăioară
Naltă, veselă, uşoară,
Ca un pui de căprioară!
Face-m-aş privighetoare
De-aş cânta noaptea-n răcoare
Doina cea dezmierdătoare!
Doina, doinitâ!
De-aş avea o puşculiţâ
Şi trei glonp în punguliţâ
Ş-o sorioară de bărdiţă!
De-aş avea, pe gândul meu,
Un cal aprig ca un leu,
Negru ca păcatul greu!
De-aş avea vro şapte fraţi,
Toţi ca mine de bărbaţi
Şi pe zmei încălecaţi!
Face-m-aş un vultur mare,
De-aş cânta ziua, la soare,
Doina cea de răzbunare!
Doina, doiniţă!
Şi i-aş zice: ""Mândruliţă,
Mă jur p-astâ cruciuliţâ
Să te ţin ca un bădiţă!""
Şi i-aş zice: ""Voinicele,
Să te-ntreci cu rândunele
Peste dealuri şi vâlcele!""
Şi le-aş zice: ""Şapte fraţi,
Faceţi cruce şi juraţi
Vii în veci să nu vă daţi!""
Hai, copii, cu voinicie,
Să scăpăm biata moşie
De păgâni şi de robie!
",Vasile Alecsandri
Groza,"Galben ca făclia de galbenă ceară
Ce-aproape-i ardea,
Pe-o scândură veche, aruncat afară,
De somnul cel vecinic Groz-acum zăcea;
Iar după el nime, nime nu plângea!
Poporu-mprejuru-i trist, cu-nfiorare,
La el se uita.
Unii făceau cruce; alţii, de mirare,
Cu mâna la gură capul clătina
Şi-ncet, lângă dânsul, îşi şopteau aşa
""El să fie Groza cel vestit în ţară
Şi-n sânge-ncruntat!
El să fie Groza, cel ce ca o fiară,
Fără nici o grijă de negrul păcat,
A stins zile multe şi lege-a călcat!""
Un moşneag atunce, cu o barbă lungă,
La Groza mergând,
Scoase doi bani netezi din vechea sa pungă,
Lângă mort îi puse, mâna-i sărutând,
Mai facu o cruce şi zise plângând:
""Oameni buni! an iarnă bordeiu-mi arsese,
Şi pe-un ger cumplit
Nevasta-mi cu pruncii pe câmp rămăsese.
N-aveam nici de hrană, nici ţol de-nvelit,
Şi nici o putere!... eram prăpădit!
Nu aşteptam altâ din mila cerească
Decât a muri,
Când creştinul ăsta, Domnu-1 odihnească!
Pe-un cal alb ca iarna în deal se ivi
Ş-aproape de mine calul îşi opri.
""Nu plânge, îmi zise, n-ai grijă, române,
Fă piept bărbătesc;
Na, să-ţi cumperi haine, şi casă, şi pâine...""
Şi de-atunci copiii-mi ce-1 tot pomenesc,
Oameni buni! de atunce în tihnă trăiesc.""
Şi, sărutând mortul, bătrânul moşneag
Oftâ şi se duse cu-al său vechi toiag.
Iar poporu-n zgomot strigă, plin de jale:
""Dumnezeu să ierte păcatele sale!""
",Vasile Alecsandri
Hora,"Iată! hora se porneşte
Sub stejar, la rădăcină.
Iată! hora se-nvârteşte...
Vină, puico, vină.
Lângă mine vin', drăguţă,
Să te pot strânge de mână
Ca ieri seara, la fântână;
Mario, Măriuţă!
Duh-de-Spaimă! Piei-Nălucă!
Sună bine-n cobză, sună,
Să nu-ţi fac spetele strună
Şi chica măciucă.
Tu, Fes-Roş cu giubea lungă!
Din arcuş trage mai tare,
Căci în gard am un par mare
Şi mulţi bani în pungă!
Tot aşa pân-în deseară!
Mult frumoasă-mi e puicuţa,
Ca o zi de primăvară,
Maria, Măriuţa!
Tot aşa, tot voiniceşte!
Nu mă daţi, măi, de ruşine,
Căci guriţa ce-mi zâmbeşte
Vâră dracu-n mine.
Mi-am pus flori la pălărie,
Mi-am pus flori, mi-am pus mărgele
Să se uite cu mândrie
Puicuţa la ele.
Am cămaşă cu altiţă,
Tot de fir şi de mătasă,
Am pe spate-o durduliţă...
De nime nu-mi pasă!
Nici de vornic, nici de dracul,
Nici de vrajă ciocoiască,
Nici de turc, nici de cazacul...
Tara să trăiască!
Bateţi toţi într-o lovire
Să vuiască-n fund pământul;
Lumea-ntreagă să se mire,
Şi Dumnezeu sfântul!
Sunt sătul de biruri grele
Şi de plug, şi de lopată,
De ciocoi, de zapciele
Şi de sapă lată.
Astăzi horele sunt pline!
Crape-mi sura opincuţă,
Şi să mor în joc cu tine,
Mario, Măriuţă!
",Vasile Alecsandri
Cinel-cinel,"Păstorul zise: ""Cinel-cinel,
Copilei june de lângă el.
Două steluţe cu raze line
Lasat-au cerul plin de lumine
Şi pe-a ta frunte ele-au căzut.
Ghici, drăguliţă, că le sărut.""
Nu ghici-ndatâ
Gingaşa fatâ
Şi pe ochi dulce fu sărutată.
Păstorul zise încă: ""Cinel,
Copilei blânde de lângă el.
O vezi închisă, rumenă floare,
Cum se deschide, vezi lăcrimioare,
Şi pe-a ta faţâ ea s-a născut.
Ghici, drăguliţă, că o sărut"".
Nu ghici-ndatâ
Vesela fatâ
Şi pe guriţâ fu sărutată.
Păstorul zise iară: ""Cinel,
Copilei mândre de lângă el.
Albe, rotunde, două-aripioare
Ne-ncetat saltă, la cer să zboare,
Şi tu-n robie le-ai tot ţinut.
Ghici, drăguliţă, că le sărut"".
Nu ghici-ndatâ
Rumena fatâ
Şi pe sân fraged fu sărutată.
",Vasile Alecsandri
Cântec ostăşesc,"Român verde ca stejarul,
Râd de duşmani şi de moarte!
Să-mi trăiască armăsarul
Şi prin glonţi să mă tot poarte!
Sai, voinice, şi nechează
Ager, falnic ca un zmeu,
Căci am inimă vitează
Şi credinţă-n Dumnezeu!
Cât mi-a sta mâna voinică
Pe-a mea pală ostăşească,
N-aibă grijă de nimică
Ţara mea cea românească!
Sai, voinice, şi nechează
Ager, falnic ca un zmeu,
Căci am inimă vitează
Şi credinţă-n Dumnezeu!
Cu-al meu suflet, cu-a mea pală,
Cu-al meu şoim albit de spume,
În duşmani vom da năvală,
De s-a duce vestea-n lume!
Sai, voinice, şi nechează
Ager, falnic ca un zmeu,
Căci am inimă vitează
Şi credinţă-n Dumnezeu!
",Vasile Alecsandri
Steluţa,"Tu, care eşti pierdută în neagra vecinicie,
Stea dulce şi iubită a sufletului meu!
Şi care-odinioară luceai atât de vie
Pe când eram în lume tu singură şi eu!
O! blândă, mult duioasă şi tainică lumină!
În veci printre steluţe te cată al meu dor,
Ş-adeseori la tine, când noaptea e senină,
Pe plaiul nemuririi se naltă c-un lung zbor.
Trecut-au ani de lacrimi, şi mulţi vor trece încă
Din ora de urgie în care te-am pierdut!
Şi doru-mi nu s-alină, şi jalea mea adâncă
Ca trista vecinicie e fără de trecut!
Plăceri ale iubirii, plăceri încântătoare!
Simpri! măreţe visuri de falnic viitor!
V-aţi stins într-o clipală ca stele trecătoare
Ce las-un întuneric adânc în urma lor.
V-aţi stins! şi de atunce în cruda-mi rătăcire
N-am altă mângâiere mai vie pe pământ
Decât să-nalţ la tine duioasa mea gândire,
Stelută zâmbitoare dincolo de mormânt!
Căci mult, ah! mult în viaţă eu te-am iubit pe tine,
O, dulce dezmierdare a sufletului meu!
Şi multă fericire ai revărsat în mine
Pe când eram în lume tu singură şi eu!
Frumoasă îngerelă cu albe aripioare!
Precum un vis de aur în viaţă-mi ai lucit,
Şi-n ceruri cu grăbire, ca un parfum de floare,
Te-ai dus, lăsându-mi numai un suvenir iubit.
Un suvenir, comoară de visuri fericite,
De scumpe, şi fierbinte, şi dulce sărutări,
De zile luminoase şi îndumnezeite,
De nopţi veneţiane şi pline de-ncântări.
Un suvenir poetic, coroana vieţii mele,
Ce mângâie şi-nvie duioasă-inima mea,
Şi care se uneşte cu harpele din stele
Când mă închin la tine, o! dragă, lină stea!
Tu dar ce prin iubire, la a iubirii soare,
Ai deşteptat în mine poetice simţiri,
Primeşte-n altă lume aceste lăcrimioare
Ca un răsunet dulce de-a noastre dulci iubiri!
",Vasile Alecsandri
Gondoleta,"Cu Niniţa-n gondoletă
Când mă primblu-ncetişor,
Trecătorul din Piaţetă
Ne priveşte-oftând de dor,
Atunci cerul se-nsenină,
Lucind vesel l-amândoi,
Ş-Adriatica s-alină,
Se alină pentru noi.
În laguna de ne place
A pluti pe-a marei val,
Pentru noi Siroco tace
Pe-a lui Lido verde mal,
Şi sub lunga să lopată
Gondoleta saltă lin,
Cu Niniţa legănată
Legănată pe-al meu sân.
 Mână vesel, lopătare,
 De la Lido la San-Marc.
 Ia de-alung Canalul Mare
 Ce se-ndoaie ca un arc.
 Mergi cât draga mea Niniţa,
 Stând la peptu-mi înfocat,
 Mi-a dat dulcea să guriţă,
 Mi-a dat dulce sărutat.
 Cât va fi în ceruri luna,
 Cât va fi senin pe cer,
 La Gindeca, spre lagună,
 Zbori, voinice gondolier.
 Du-ne, Toni,-n liniştire
 Pân' ce, stând gondola ta,
 Viaţa noastră de iubire
 Cu iubire va-nceta!
",Vasile Alecsandri
